,model,clip,predicted,dylan_label,ellie_label,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
10,spatial_unsup,3_1b_task1 3478-3928,GIVE,n,n,GIVE=0.9524,TAKE=0.9299,PUT=0.9271,GET=0.9221,WASH=0.9134,EAT=0.9132,PICK=0.9087,THROW=0.9068,OPEN=0.9049,HOLD=0.8937,GO=0.8926,WALK=0.8679,PLAY=0.8653,DROP=0.8567
11,cnn_unsup,3_1b_task1 3478-3928,OPEN,n,n,OPEN=0.9909,THROW=0.9906,GIVE=0.9905,PLAY=0.9878,EAT=0.9863,DROP=0.9860,PUT=0.9860,TAKE=0.9854,HOLD=0.9853,GO=0.9852,PICK=0.9841,GET=0.9765,WASH=0.9740,WALK=0.9717
12,spatial_sup,3_1b_task1 3478-3928,GO,n,y,GO=0.5715,PUT=0.3664,GIVE=0.3197,EAT=0.2467,HOLD=0.1431,THROW=0.1323,WASH=-0.0538,OPEN=-0.0899,TAKE=-0.1383,WALK=-0.3414,DROP=-0.4056,PLAY=-0.4147,GET=-0.4205,PICK=-0.4640
13,cnn_sup,3_1b_task1 3478-3928,WASH,n,n,GO=0.5715,PUT=0.3664,GIVE=0.3197,EAT=0.2467,HOLD=0.1431,THROW=0.1323,WASH=-0.0538,OPEN=-0.0899,TAKE=-0.1383,WALK=-0.3414,DROP=-0.4056,PLAY=-0.4147,GET=-0.4205,PICK=-0.4640
14,rand,3_1b_task1 3478-3928,GET,y,y,,,,,,,,,,,,,,
15,spatial_unsup,3_1b_task1 3928-4378,GIVE,n,n,GIVE=0.8846,PUT=0.8278,WASH=0.7999,TAKE=0.7895,PICK=0.7877,EAT=0.7793,GET=0.7779,GO=0.7719,HOLD=0.7648,THROW=0.7591,DROP=0.7519,PLAY=0.7463,OPEN=0.7379,WALK=0.7201
16,cnn_unsup,3_1b_task1 3928-4378,GIVE,n,n,GIVE=0.9927,THROW=0.9915,OPEN=0.9915,PLAY=0.9889,EAT=0.9873,PUT=0.9873,DROP=0.9872,HOLD=0.9868,TAKE=0.9867,GO=0.9865,PICK=0.9858,GET=0.9790,WASH=0.9765,WALK=0.9749
17,spatial_sup,3_1b_task1 3928-4378,PUT,y,y,PUT=0.5315,GIVE=0.4628,GO=0.2757,THROW=0.1385,GET=-0.0280,WASH=-0.0287,HOLD=-0.0929,OPEN=-0.1876,PICK=-0.1961,DROP=-0.2362,TAKE=-0.2960,EAT=-0.2976,WALK=-0.3137,PLAY=-0.4071
18,cnn_sup,3_1b_task1 3928-4378,GO,n,n,PUT=0.5315,GIVE=0.4628,GO=0.2757,THROW=0.1385,GET=-0.0280,WASH=-0.0287,HOLD=-0.0929,OPEN=-0.1876,PICK=-0.1961,DROP=-0.2362,TAKE=-0.2960,EAT=-0.2976,WALK=-0.3137,PLAY=-0.4071
19,rand,3_1b_task1 3928-4378,PICK,y,y,,,,,,,,,,,,,,
20,spatial_unsup,3_1b_task1 4378-4828,OPEN,n,n,OPEN=0.8715,GET=0.8324,TAKE=0.8303,THROW=0.8229,EAT=0.7998,WALK=0.7904,HOLD=0.7706,PICK=0.7665,WASH=0.7549,GO=0.7503,PUT=0.7387,PLAY=0.7260,GIVE=0.7054,DROP=0.6862
21,cnn_unsup,3_1b_task1 4378-4828,THROW,n,n,THROW=0.9968,PLAY=0.9948,GIVE=0.9944,PUT=0.9940,EAT=0.9926,TAKE=0.9924,PICK=0.9921,GO=0.9920,DROP=0.9919,HOLD=0.9904,OPEN=0.9896,GET=0.9883,WALK=0.9852,WASH=0.9843
22,spatial_sup,3_1b_task1 4378-4828,PUT,n,n,PUT=0.7564,GIVE=0.5229,GO=0.3417,EAT=0.2426,THROW=0.0762,OPEN=-0.0358,PLAY=-0.0529,GET=-0.0716,DROP=-0.1053,WASH=-0.2071,HOLD=-0.3677,WALK=-0.4254,TAKE=-0.5930,PICK=-0.7337
23,cnn_sup,3_1b_task1 4378-4828,PUT,n,n,PUT=0.7564,GIVE=0.5229,GO=0.3417,EAT=0.2426,THROW=0.0762,OPEN=-0.0358,PLAY=-0.0529,GET=-0.0716,DROP=-0.1053,WASH=-0.2071,HOLD=-0.3677,WALK=-0.4254,TAKE=-0.5930,PICK=-0.7337
24,rand,3_1b_task1 4378-4828,EAT,n,n,,,,,,,,,,,,,,
25,spatial_unsup,3_1b_task1 4828-5278,DROP,n,n,DROP=0.8540,HOLD=0.8455,WASH=0.8406,WALK=0.8399,GO=0.8170,PICK=0.8061,THROW=0.8058,GIVE=0.8021,PUT=0.7921,PLAY=0.7834,EAT=0.7813,TAKE=0.7711,GET=0.7435,OPEN=0.7065
26,cnn_unsup,3_1b_task1 4828-5278,THROW,n,n,THROW=0.9970,PUT=0.9954,GIVE=0.9953,PICK=0.9943,EAT=0.9939,TAKE=0.9938,GO=0.9938,PLAY=0.9937,DROP=0.9936,GET=0.9907,HOLD=0.9902,WASH=0.9888,OPEN=0.9884,WALK=0.9862
27,spatial_sup,3_1b_task1 4828-5278,THROW,n,n,THROW=0.6247,WALK=0.2118,PICK=0.1129,GO=0.0825,TAKE=0.0801,HOLD=0.0444,EAT=0.0075,WASH=-0.0608,PUT=-0.1146,OPEN=-0.2262,GET=-0.2395,GIVE=-0.2563,PLAY=-0.3060,DROP=-0.4078
28,cnn_sup,3_1b_task1 4828-5278,GET,y,y,THROW=0.6247,WALK=0.2118,PICK=0.1129,GO=0.0825,TAKE=0.0801,HOLD=0.0444,EAT=0.0075,WASH=-0.0608,PUT=-0.1146,OPEN=-0.2262,GET=-0.2395,GIVE=-0.2563,PLAY=-0.3060,DROP=-0.4078
29,rand,3_1b_task1 4828-5278,EAT,n,n,,,,,,,,,,,,,,
30,spatial_unsup,3_1b_task1 5278-5728,GIVE,n,n,GIVE=0.8693,WASH=0.7915,HOLD=0.7783,TAKE=0.7776,THROW=0.7745,WALK=0.7546,PUT=0.7474,PICK=0.7390,GET=0.7371,EAT=0.7369,OPEN=0.7189,GO=0.7162,DROP=0.6946,PLAY=0.6402
31,cnn_unsup,3_1b_task1 5278-5728,THROW,n,n,THROW=0.9954,GIVE=0.9937,PLAY=0.9926,PUT=0.9919,EAT=0.9900,TAKE=0.9899,PICK=0.9899,GO=0.9897,DROP=0.9890,HOLD=0.9877,GET=0.9866,OPEN=0.9864,WALK=0.9835,WASH=0.9826
32,spatial_sup,3_1b_task1 5278-5728,PUT,y,y,PUT=0.6932,THROW=0.3523,GET=0.3032,GIVE=0.3005,GO=-0.0269,EAT=-0.0794,TAKE=-0.1699,DROP=-0.2051,OPEN=-0.2248,HOLD=-0.2487,WALK=-0.2885,PLAY=-0.2887,PICK=-0.4299,WASH=-0.4487
33,cnn_sup,3_1b_task1 5278-5728,THROW,n,n,PUT=0.6932,THROW=0.3523,GET=0.3032,GIVE=0.3005,GO=-0.0269,EAT=-0.0794,TAKE=-0.1699,DROP=-0.2051,OPEN=-0.2248,HOLD=-0.2487,WALK=-0.2885,PLAY=-0.2887,PICK=-0.4299,WASH=-0.4487
34,rand,3_1b_task1 5278-5728,WASH,n,n,,,,,,,,,,,,,,
35,spatial_unsup,3_1b_task1 5728-6178,THROW,n,n,THROW=0.8813,GIVE=0.8681,TAKE=0.8667,OPEN=0.8553,WASH=0.8549,HOLD=0.8518,GET=0.8504,WALK=0.8402,EAT=0.8320,PICK=0.8273,GO=0.8174,PUT=0.8123,DROP=0.7838,PLAY=0.7558
36,cnn_unsup,3_1b_task1 5728-6178,THROW,n,n,THROW=0.9926,PUT=0.9915,PLAY=0.9897,EAT=0.9896,GIVE=0.9896,PICK=0.9894,TAKE=0.9888,DROP=0.9885,GO=0.9884,GET=0.9873,HOLD=0.9858,WASH=0.9851,WALK=0.9838,OPEN=0.9818
37,spatial_sup,3_1b_task1 5728-6178,THROW,n,n,THROW=0.4038,GO=0.4006,GET=0.1298,TAKE=0.0414,PUT=0.0344,OPEN=0.0124,HOLD=-0.0102,GIVE=-0.0416,EAT=-0.0747,PICK=-0.1247,WALK=-0.2394,WASH=-0.2461,PLAY=-0.2773,DROP=-0.6945
38,cnn_sup,3_1b_task1 5728-6178,TAKE,y,y,THROW=0.4038,GO=0.4006,GET=0.1298,TAKE=0.0414,PUT=0.0344,OPEN=0.0124,HOLD=-0.0102,GIVE=-0.0416,EAT=-0.0747,PICK=-0.1247,WALK=-0.2394,WASH=-0.2461,PLAY=-0.2773,DROP=-0.6945
39,rand,3_1b_task1 5728-6178,PUT,y,y,,,,,,,,,,,,,,
40,spatial_unsup,3_1b_task1 6178-6628,DROP,n,n,DROP=0.9717,GO=0.9403,HOLD=0.9391,WALK=0.9376,PLAY=0.9364,WASH=0.9337,PICK=0.9286,PUT=0.9240,EAT=0.9062,THROW=0.9009,TAKE=0.8824,GET=0.8714,GIVE=0.8653,OPEN=0.8244
41,cnn_unsup,3_1b_task1 6178-6628,THROW,n,n,THROW=0.9930,PUT=0.9898,PLAY=0.9898,GIVE=0.9892,EAT=0.9874,PICK=0.9874,TAKE=0.9870,GO=0.9864,DROP=0.9858,GET=0.9852,HOLD=0.9834,WALK=0.9819,WASH=0.9815,OPEN=0.9813
42,spatial_sup,3_1b_task1 6178-6628,THROW,n,n,THROW=0.5149,GET=0.3861,WALK=0.2081,TAKE=0.1321,PUT=0.1149,WASH=0.1131,GO=0.0449,HOLD=-0.1195,PICK=-0.2465,GIVE=-0.2911,PLAY=-0.3054,DROP=-0.3243,EAT=-0.4562,OPEN=-0.4847
43,cnn_sup,3_1b_task1 6178-6628,THROW,n,n,THROW=0.5149,GET=0.3861,WALK=0.2081,TAKE=0.1321,PUT=0.1149,WASH=0.1131,GO=0.0449,HOLD=-0.1195,PICK=-0.2465,GIVE=-0.2911,PLAY=-0.3054,DROP=-0.3243,EAT=-0.4562,OPEN=-0.4847
44,rand,3_1b_task1 6178-6628,TAKE,y,y,,,,,,,,,,,,,,
45,spatial_unsup,3_1b_task1 6628-7078,THROW,n,n,THROW=0.8862,TAKE=0.8861,GIVE=0.8822,OPEN=0.8764,WASH=0.8653,GET=0.8649,HOLD=0.8632,WALK=0.8558,EAT=0.8531,PICK=0.8400,PUT=0.8281,GO=0.8235,DROP=0.7840,PLAY=0.7696
46,cnn_unsup,3_1b_task1 6628-7078,THROW,n,n,THROW=0.9930,GIVE=0.9910,PLAY=0.9907,PUT=0.9892,EAT=0.9876,TAKE=0.9874,PICK=0.9870,GO=0.9868,HOLD=0.9867,DROP=0.9857,OPEN=0.9846,GET=0.9837,WALK=0.9816,WASH=0.9791
47,spatial_sup,3_1b_task1 6628-7078,PUT,y,y,PUT=0.5709,THROW=0.3511,GIVE=0.2821,GO=0.2505,DROP=0.2240,GET=0.0705,OPEN=-0.0900,HOLD=-0.1109,EAT=-0.1121,TAKE=-0.2205,PLAY=-0.2917,WALK=-0.2973,PICK=-0.4932,WASH=-0.6130
48,cnn_sup,3_1b_task1 6628-7078,TAKE,n,y,PUT=0.5709,THROW=0.3511,GIVE=0.2821,GO=0.2505,DROP=0.2240,GET=0.0705,OPEN=-0.0900,HOLD=-0.1109,EAT=-0.1121,TAKE=-0.2205,PLAY=-0.2917,WALK=-0.2973,PICK=-0.4932,WASH=-0.6130
49,rand,3_1b_task1 6628-7078,GET,n,/,,,,,,,,,,,,,,
50,spatial_unsup,3_1b_task1 7078-7528,WALK,y,y,WALK=0.9787,DROP=0.9774,HOLD=0.9755,GO=0.9754,PLAY=0.9702,PICK=0.9699,WASH=0.9688,EAT=0.9670,THROW=0.9644,PUT=0.9547,TAKE=0.9536,GET=0.9465,OPEN=0.9336,GIVE=0.9006
51,cnn_unsup,3_1b_task1 7078-7528,THROW,n,n,THROW=0.9950,PUT=0.9933,GIVE=0.9933,PLAY=0.9928,DROP=0.9927,EAT=0.9922,TAKE=0.9920,PICK=0.9920,HOLD=0.9920,GO=0.9910,OPEN=0.9891,GET=0.9872,WALK=0.9845,WASH=0.9833
52,spatial_sup,3_1b_task1 7078-7528,GO,y,y,GO=0.6520,THROW=0.4177,OPEN=0.2452,EAT=0.0544,PLAY=0.0393,HOLD=-0.0759,TAKE=-0.0928,GIVE=-0.0999,GET=-0.1559,PUT=-0.2036,PICK=-0.2109,WALK=-0.2333,WASH=-0.3440,DROP=-0.3769
53,cnn_sup,3_1b_task1 7078-7528,GET,y,y,GO=0.6520,THROW=0.4177,OPEN=0.2452,EAT=0.0544,PLAY=0.0393,HOLD=-0.0759,TAKE=-0.0928,GIVE=-0.0999,GET=-0.1559,PUT=-0.2036,PICK=-0.2109,WALK=-0.2333,WASH=-0.3440,DROP=-0.3769
54,rand,3_1b_task1 7078-7528,GET,y,y,,,,,,,,,,,,,,
55,spatial_unsup,3_1b_task1 7528-7978,OPEN,n,/,OPEN=0.8645,THROW=0.8195,GET=0.8184,TAKE=0.8080,WALK=0.7983,EAT=0.7909,HOLD=0.7667,PICK=0.7605,GO=0.7572,PLAY=0.7454,WASH=0.7401,PUT=0.7149,DROP=0.7060,GIVE=0.6374
56,cnn_unsup,3_1b_task1 7528-7978,THROW,n,n,THROW=0.9904,PLAY=0.9882,PUT=0.9864,GIVE=0.9849,EAT=0.9848,TAKE=0.9843,HOLD=0.9835,PICK=0.9833,GO=0.9830,DROP=0.9817,GET=0.9804,OPEN=0.9790,WALK=0.9790,WASH=0.9749
57,spatial_sup,3_1b_task1 7528-7978,PUT,y,y,PUT=0.6427,THROW=0.4609,GIVE=0.2895,GO=0.2099,GET=0.0841,DROP=-0.0202,EAT=-0.2014,WALK=-0.2232,HOLD=-0.2340,TAKE=-0.2436,WASH=-0.2934,OPEN=-0.3186,PLAY=-0.3279,PICK=-0.5775
58,cnn_sup,3_1b_task1 7528-7978,THROW,n,n,PUT=0.6427,THROW=0.4609,GIVE=0.2895,GO=0.2099,GET=0.0841,DROP=-0.0202,EAT=-0.2014,WALK=-0.2232,HOLD=-0.2340,TAKE=-0.2436,WASH=-0.2934,OPEN=-0.3186,PLAY=-0.3279,PICK=-0.5775
59,rand,3_1b_task1 7528-7978,TAKE,n,y,,,,,,,,,,,,,,
60,spatial_unsup,3_1b_task1 7978-8428,THROW,n,n,THROW=0.0082,WALK=0.0072,PLAY=0.0072,PUT=0.0068,GET=0.0060,WASH=0.0055,EAT=0.0055,GO=0.0052,TAKE=0.0041,PICK=0.0036,DROP=0.0036,OPEN=0.0034,GIVE=0.0027,HOLD=0.0020
61,cnn_unsup,3_1b_task1 7978-8428,THROW,n,n,THROW=0.9856,PUT=0.9838,PLAY=0.9829,PICK=0.9810,EAT=0.9808,TAKE=0.9806,GET=0.9806,WALK=0.9794,GO=0.9794,DROP=0.9781,GIVE=0.9779,HOLD=0.9764,WASH=0.9756,OPEN=0.9676
62,spatial_sup,3_1b_task1 7978-8428,EAT,n,n,EAT=0.4312,GO=0.4298,GET=0.3860,OPEN=0.3393,WASH=0.3164,PLAY=0.0353,PUT=0.0222,HOLD=0.0046,GIVE=-0.0958,WALK=-0.1748,DROP=-0.1753,TAKE=-0.3966,PICK=-0.4962,THROW=-0.4994
63,cnn_sup,3_1b_task1 7978-8428,PUT,n,n,EAT=0.4312,GO=0.4298,GET=0.3860,OPEN=0.3393,WASH=0.3164,PLAY=0.0353,PUT=0.0222,HOLD=0.0046,GIVE=-0.0958,WALK=-0.1748,DROP=-0.1753,TAKE=-0.3966,PICK=-0.4962,THROW=-0.4994
64,rand,3_1b_task1 7978-8428,WALK,y,y,,,,,,,,,,,,,,
65,spatial_unsup,3_1b_task1 8428-8878,PICK,y,y,PICK=0.9983,PUT=0.9977,WASH=0.9974,GO=0.9958,HOLD=0.9956,EAT=0.9948,TAKE=0.9935,THROW=0.9925,WALK=0.9887,GET=0.9876,DROP=0.9852,PLAY=0.9810,OPEN=0.9637,GIVE=0.9633
66,cnn_unsup,3_1b_task1 8428-8878,THROW,n,n,THROW=0.9914,GIVE=0.9899,PLAY=0.9887,PUT=0.9886,EAT=0.9869,TAKE=0.9862,PICK=0.9862,GO=0.9859,DROP=0.9855,HOLD=0.9853,GET=0.9832,OPEN=0.9815,WALK=0.9807,WASH=0.9793
67,spatial_sup,3_1b_task1 8428-8878,GO,y,n,GO=0.5161,PUT=0.4589,THROW=0.3973,EAT=0.0761,GIVE=0.0635,GET=0.0259,PLAY=0.0211,OPEN=-0.0095,WALK=-0.1350,DROP=-0.1563,WASH=-0.4389,HOLD=-0.4453,PICK=-0.6057,TAKE=-0.6596
68,cnn_sup,3_1b_task1 8428-8878,TAKE,n,n,GO=0.5161,PUT=0.4589,THROW=0.3973,EAT=0.0761,GIVE=0.0635,GET=0.0259,PLAY=0.0211,OPEN=-0.0095,WALK=-0.1350,DROP=-0.1563,WASH=-0.4389,HOLD=-0.4453,PICK=-0.6057,TAKE=-0.6596
69,rand,3_1b_task1 8428-8878,EAT,n,n,,,,,,,,,,,,,,
70,spatial_unsup,3_1b_task1 8878-9328,PUT,y,y,PUT=0.9923,GO=0.9863,PICK=0.9858,PLAY=0.9850,DROP=0.9844,WASH=0.9794,EAT=0.9785,HOLD=0.9735,TAKE=0.9658,WALK=0.9627,GET=0.9624,THROW=0.9600,GIVE=0.9453,OPEN=0.9309
71,cnn_unsup,3_1b_task1 8878-9328,GIVE,n,n,GIVE=0.9926,THROW=0.9923,EAT=0.9912,PUT=0.9911,HOLD=0.9903,DROP=0.9902,GO=0.9902,TAKE=0.9901,PICK=0.9894,PLAY=0.9883,OPEN=0.9869,WASH=0.9837,GET=0.9836,WALK=0.9787
72,spatial_sup,3_1b_task1 8878-9328,EAT,n,/,EAT=0.7708,HOLD=0.5394,GO=0.4563,OPEN=0.3730,PUT=0.1457,WASH=0.1024,GIVE=0.0506,DROP=-0.0817,GET=-0.1361,WALK=-0.1806,PICK=-0.2255,TAKE=-0.3313,PLAY=-0.4786,THROW=-0.6819
73,cnn_sup,3_1b_task1 8878-9328,PICK,y,y,EAT=0.7708,HOLD=0.5394,GO=0.4563,OPEN=0.3730,PUT=0.1457,WASH=0.1024,GIVE=0.0506,DROP=-0.0817,GET=-0.1361,WALK=-0.1806,PICK=-0.2255,TAKE=-0.3313,PLAY=-0.4786,THROW=-0.6819
74,rand,3_1b_task1 8878-9328,HOLD,n,n,,,,,,,,,,,,,,
75,spatial_unsup,3_1b_task1 9328-9778,GIVE,n,n,GIVE=0.8414,PUT=0.8212,GET=0.8092,TAKE=0.8059,EAT=0.7897,PICK=0.7894,WASH=0.7839,OPEN=0.7820,THROW=0.7758,GO=0.7738,HOLD=0.7555,PLAY=0.7540,DROP=0.7351,WALK=0.7204
76,cnn_unsup,3_1b_task1 9328-9778,THROW,n,n,THROW=0.9938,GIVE=0.9920,EAT=0.9916,PUT=0.9914,TAKE=0.9907,HOLD=0.9902,GO=0.9902,PLAY=0.9901,PICK=0.9896,DROP=0.9896,OPEN=0.9888,GET=0.9837,WASH=0.9832,WALK=0.9792
77,spatial_sup,3_1b_task1 9328-9778,PUT,n,y,PUT=0.5566,EAT=0.4905,HOLD=0.3078,WALK=0.1894,WASH=0.0896,GET=0.0572,GIVE=-0.0328,GO=-0.0750,DROP=-0.1465,PICK=-0.2221,OPEN=-0.2315,TAKE=-0.2665,THROW=-0.4890,PLAY=-0.5415
78,cnn_sup,3_1b_task1 9328-9778,PUT,n,y,PUT=0.5566,EAT=0.4905,HOLD=0.3078,WALK=0.1894,WASH=0.0896,GET=0.0572,GIVE=-0.0328,GO=-0.0750,DROP=-0.1465,PICK=-0.2221,OPEN=-0.2315,TAKE=-0.2665,THROW=-0.4890,PLAY=-0.5415
79,rand,3_1b_task1 9328-9778,TAKE,n,n,,,,,,,,,,,,,,
80,spatial_unsup,3_1b_task2 9790-10240,WALK,y,y,WALK=0.0092,GET=0.0076,WASH=0.0070,PLAY=0.0067,PUT=0.0065,THROW=0.0063,GO=0.0056,EAT=0.0054,TAKE=0.0048,PICK=0.0043,DROP=0.0038,OPEN=0.0037,HOLD=0.0029,GIVE=-0.0010
81,cnn_unsup,3_1b_task2 9790-10240,THROW,n,n,THROW=0.9952,GIVE=0.9947,EAT=0.9943,TAKE=0.9938,PUT=0.9937,DROP=0.9936,GO=0.9936,HOLD=0.9935,PICK=0.9927,PLAY=0.9924,OPEN=0.9918,GET=0.9860,WASH=0.9850,WALK=0.9821
82,spatial_sup,3_1b_task2 9790-10240,WALK,y,y,WALK=0.6350,PUT=0.4330,EAT=0.2084,DROP=0.1820,GET=0.0616,HOLD=0.0287,PICK=-0.0497,THROW=-0.1117,GO=-0.1816,PLAY=-0.2162,OPEN=-0.3449,TAKE=-0.3771,GIVE=-0.4459,WASH=-0.4477
83,cnn_sup,3_1b_task2 9790-10240,TAKE,n,n,WALK=0.6350,PUT=0.4330,EAT=0.2084,DROP=0.1820,GET=0.0616,HOLD=0.0287,PICK=-0.0497,THROW=-0.1117,GO=-0.1816,PLAY=-0.2162,OPEN=-0.3449,TAKE=-0.3771,GIVE=-0.4459,WASH=-0.4477
84,rand,3_1b_task2 9790-10240,GO,y,y,,,,,,,,,,,,,,
85,spatial_unsup,3_1b_task2 10240-10690,EAT,n,n,EAT=0.9971,GO=0.9958,PICK=0.9955,THROW=0.9953,GET=0.9942,TAKE=0.9933,WALK=0.9893,HOLD=0.9889,PLAY=0.9887,PUT=0.9860,WASH=0.9854,OPEN=0.9819,DROP=0.9802,GIVE=0.9275
86,cnn_unsup,3_1b_task2 10240-10690,EAT,n,n,EAT=0.9951,PUT=0.9944,DROP=0.9944,TAKE=0.9942,GO=0.9940,THROW=0.9939,HOLD=0.9938,PICK=0.9933,GIVE=0.9925,PLAY=0.9915,OPEN=0.9895,WASH=0.9879,GET=0.9878,WALK=0.9834
87,spatial_sup,3_1b_task2 10240-10690,GO,n,n,GO=0.7579,OPEN=0.6140,EAT=0.6034,HOLD=0.6011,WASH=0.2243,GIVE=0.0588,DROP=-0.0101,TAKE=-0.0996,PICK=-0.1850,THROW=-0.2776,GET=-0.2998,PUT=-0.3517,WALK=-0.4099,PLAY=-0.4345
88,cnn_sup,3_1b_task2 10240-10690,GIVE,n,n,GO=0.7579,OPEN=0.6140,EAT=0.6034,HOLD=0.6011,WASH=0.2243,GIVE=0.0588,DROP=-0.0101,TAKE=-0.0996,PICK=-0.1850,THROW=-0.2776,GET=-0.2998,PUT=-0.3517,WALK=-0.4099,PLAY=-0.4345
89,rand,3_1b_task2 10240-10690,WASH,n,n,,,,,,,,,,,,,,
90,spatial_unsup,3_1b_task2 10690-11140,GIVE,n,n,GIVE=0.9350,PUT=0.8924,WASH=0.8847,TAKE=0.8837,HOLD=0.8677,GET=0.8670,PICK=0.8669,THROW=0.8663,EAT=0.8589,GO=0.8483,WALK=0.8414,DROP=0.8258,OPEN=0.8233,PLAY=0.8040
91,cnn_unsup,3_1b_task2 10690-11140,HOLD,y,y,HOLD=0.9960,DROP=0.9959,EAT=0.9958,GO=0.9951,TAKE=0.9951,PUT=0.9949,GIVE=0.9943,PICK=0.9943,THROW=0.9938,PLAY=0.9921,OPEN=0.9906,GET=0.9886,WASH=0.9882,WALK=0.9846
92,spatial_sup,3_1b_task2 10690-11140,PUT,y,n,PUT=0.4098,HOLD=0.3875,GIVE=0.3791,DROP=0.3216,WASH=0.1577,TAKE=0.1156,GO=0.0680,EAT=-0.0034,GET=-0.1396,OPEN=-0.1853,WALK=-0.1944,PICK=-0.2703,THROW=-0.4266,PLAY=-0.4387
93,cnn_sup,3_1b_task2 10690-11140,GIVE,n,n,PUT=0.4098,HOLD=0.3875,GIVE=0.3791,DROP=0.3216,WASH=0.1577,TAKE=0.1156,GO=0.0680,EAT=-0.0034,GET=-0.1396,OPEN=-0.1853,WALK=-0.1944,PICK=-0.2703,THROW=-0.4266,PLAY=-0.4387
94,rand,3_1b_task2 10690-11140,PICK,y,n,,,,,,,,,,,,,,
95,spatial_unsup,3_1b_task2 11140-11590,WALK,n,n,WALK=0.8905,DROP=0.8863,GO=0.8710,PLAY=0.8689,HOLD=0.8666,THROW=0.8635,PICK=0.8535,EAT=0.8409,WASH=0.8396,GET=0.8336,TAKE=0.8261,PUT=0.8210,OPEN=0.8097,GIVE=0.7038
96,cnn_unsup,3_1b_task2 11140-11590,GIVE,n,n,GIVE=0.9957,DROP=0.9955,OPEN=0.9950,HOLD=0.9947,GO=0.9938,TAKE=0.9938,EAT=0.9937,THROW=0.9937,PICK=0.9928,PUT=0.9928,PLAY=0.9917,GET=0.9845,WASH=0.9829,WALK=0.9801
97,spatial_sup,3_1b_task2 11140-11590,GO,n,n,GO=0.4960,OPEN=0.4507,HOLD=0.3331,DROP=0.2871,PICK=0.2850,TAKE=0.1692,WASH=0.1495,PLAY=0.0698,WALK=0.0157,GET=-0.0238,THROW=-0.0924,EAT=-0.2368,GIVE=-0.3396,PUT=-0.8126
