,model,clip,predicted,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
11,spatial_with_names_sup,3_1b_task1 3028-3478,GIVE,GIVE=0.8019,PUT=0.6520,DROP=0.3594,GO=0.0619,HOLD=0.0160,PLAY=-0.0408,WASH=-0.0981,PICK=-0.1116,EAT=-0.1749,OPEN=-0.1756,WALK=-0.2588,TAKE=-0.3476,GET=-0.3535,THROW=-0.3959
7,spatial_unsup,3_1b_task1 3028-3478,GIVE,GIVE=0.8024,DROP=0.7483,PUT=0.7483,WASH=0.7429,HOLD=0.7191,PICK=0.7045,GO=0.6991,WALK=0.6831,PLAY=0.6794,EAT=0.6674,TAKE=0.6489,THROW=0.6355,GET=0.6095,OPEN=0.5228
17,spatial_sup,3_1b_task1 3478-3928,GO,GO=0.5715,PUT=0.3664,GIVE=0.3197,EAT=0.2467,HOLD=0.1431,THROW=0.1323,WASH=-0.0538,OPEN=-0.0899,TAKE=-0.1383,WALK=-0.3414,DROP=-0.4056,PLAY=-0.4147,GET=-0.4205,PICK=-0.4640
15,spatial_with_names_unsup,3_1b_task1 3478-3928,GIVE,GIVE=0.9524,TAKE=0.9299,PUT=0.9271,GET=0.9221,WASH=0.9134,EAT=0.9132,PICK=0.9087,THROW=0.9068,OPEN=0.9049,HOLD=0.8937,GO=0.8926,WALK=0.8679,PLAY=0.8653,DROP=0.8567
16,cnn_unsup,3_1b_task1 3478-3928,OPEN,OPEN=0.9909,GIVE=0.9906,THROW=0.9906,PLAY=0.9878,EAT=0.9863,DROP=0.9860,PUT=0.9860,TAKE=0.9855,HOLD=0.9853,GO=0.9853,PICK=0.9841,GET=0.9765,WASH=0.9740,WALK=0.9717
18,spatial_with_names_sup,3_1b_task1 3478-3928,GO,GO=0.5063,GIVE=0.4364,PUT=0.3014,PLAY=0.1285,THROW=0.1283,EAT=0.0531,OPEN=-0.0792,HOLD=-0.2052,TAKE=-0.2259,GET=-0.2480,PICK=-0.2746,WASH=-0.4257,WALK=-0.4382,DROP=-0.5577
19,cnn_sup,3_1b_task1 3478-3928,WASH,WASH=0.4892,EAT=0.4676,GET=0.4199,TAKE=0.2343,WALK=0.2280,PUT=0.0962,PLAY=0.0347,DROP=-0.1131,THROW=-0.1222,HOLD=-0.1775,PICK=-0.2203,GIVE=-0.2868,GO=-0.3962,OPEN=-0.6099
20,rand,3_1b_task1 3478-3928,GIVE,,,,,,,,,,,,,,
14,spatial_unsup,3_1b_task1 3478-3928,GIVE,GIVE=0.9524,TAKE=0.9299,PUT=0.9271,GET=0.9221,WASH=0.9134,EAT=0.9132,PICK=0.9087,THROW=0.9068,OPEN=0.9049,HOLD=0.8937,GO=0.8926,WALK=0.8679,PLAY=0.8653,DROP=0.8567
21,spatial_unsup,3_1b_task1 3928-4378,GIVE,GIVE=0.8846,PUT=0.8278,WASH=0.7999,TAKE=0.7895,PICK=0.7877,EAT=0.7793,GET=0.7779,GO=0.7719,HOLD=0.7648,THROW=0.7591,DROP=0.7519,PLAY=0.7463,OPEN=0.7379,WALK=0.7201
27,rand,3_1b_task1 3928-4378,WASH,,,,,,,,,,,,,,
23,cnn_unsup,3_1b_task1 3928-4378,GIVE,GIVE=0.9927,THROW=0.9915,OPEN=0.9915,PLAY=0.9890,EAT=0.9873,PUT=0.9873,DROP=0.9872,HOLD=0.9869,TAKE=0.9867,GO=0.9866,PICK=0.9858,GET=0.9790,WASH=0.9765,WALK=0.9750
25,spatial_with_names_sup,3_1b_task1 3928-4378,OPEN,OPEN=0.9379,GIVE=0.1935,THROW=0.1925,GO=0.0947,PUT=0.0638,HOLD=0.0438,DROP=0.0312,GET=0.0138,PLAY=0.0029,EAT=-0.0252,WASH=-0.0964,PICK=-0.1960,TAKE=-0.2808,WALK=-0.3336
24,spatial_sup,3_1b_task1 3928-4378,PUT,PUT=0.5315,GIVE=0.4628,GO=0.2757,THROW=0.1385,GET=-0.0280,WASH=-0.0287,HOLD=-0.0929,OPEN=-0.1876,PICK=-0.1961,DROP=-0.2362,TAKE=-0.2960,EAT=-0.2976,WALK=-0.3137,PLAY=-0.4071
26,cnn_sup,3_1b_task1 3928-4378,GO,GO=0.7527,WASH=0.3474,WALK=0.2044,GIVE=0.1708,THROW=0.1418,OPEN=0.0261,GET=0.0155,TAKE=-0.0388,EAT=-0.0615,DROP=-0.1087,PUT=-0.3436,PICK=-0.3696,HOLD=-0.3921,PLAY=-0.4177
22,spatial_with_names_unsup,3_1b_task1 3928-4378,GIVE,GIVE=0.8846,PUT=0.8278,WASH=0.7999,TAKE=0.7895,PICK=0.7877,EAT=0.7793,GET=0.7779,GO=0.7719,HOLD=0.7648,THROW=0.7591,DROP=0.7519,PLAY=0.7463,OPEN=0.7379,WALK=0.7201
30,cnn_unsup,3_1b_task1 4378-4828,THROW,THROW=0.9968,PLAY=0.9947,GIVE=0.9944,PUT=0.9939,EAT=0.9926,TAKE=0.9924,PICK=0.9921,GO=0.9920,DROP=0.9919,HOLD=0.9903,OPEN=0.9895,GET=0.9883,WALK=0.9851,WASH=0.9842
32,spatial_with_names_sup,3_1b_task1 4378-4828,PUT,PUT=0.6897,GIVE=0.5186,GO=0.3922,THROW=0.1051,EAT=0.0317,PLAY=-0.0138,OPEN=-0.1000,GET=-0.1935,WALK=-0.2721,HOLD=-0.3124,DROP=-0.4071,WASH=-0.4253,TAKE=-0.4705,PICK=-0.5089
29,spatial_with_names_unsup,3_1b_task1 4378-4828,OPEN,OPEN=0.8715,GET=0.8324,TAKE=0.8303,THROW=0.8229,EAT=0.7999,WALK=0.7905,HOLD=0.7706,PICK=0.7665,WASH=0.7549,GO=0.7503,PUT=0.7387,PLAY=0.7260,GIVE=0.7054,DROP=0.6861
34,rand,3_1b_task1 4378-4828,THROW,,,,,,,,,,,,,,
31,spatial_sup,3_1b_task1 4378-4828,PUT,PUT=0.7564,GIVE=0.5229,GO=0.3417,EAT=0.2426,THROW=0.0762,OPEN=-0.0358,PLAY=-0.0529,GET=-0.0716,DROP=-0.1053,WASH=-0.2071,HOLD=-0.3677,WALK=-0.4254,TAKE=-0.5930,PICK=-0.7337
33,cnn_sup,3_1b_task1 4378-4828,PUT,PUT=0.8601,GIVE=0.5642,PLAY=0.2258,GET=-0.0411,DROP=-0.1015,OPEN=-0.1125,TAKE=-0.1165,HOLD=-0.1442,PICK=-0.1600,GO=-0.1656,THROW=-0.1728,WASH=-0.2770,WALK=-0.3091,EAT=-0.3801
28,spatial_unsup,3_1b_task1 4378-4828,OPEN,OPEN=0.8715,GET=0.8324,TAKE=0.8303,THROW=0.8229,EAT=0.7998,WALK=0.7904,HOLD=0.7706,PICK=0.7665,WASH=0.7549,GO=0.7503,PUT=0.7387,PLAY=0.7260,GIVE=0.7054,DROP=0.6862
39,spatial_with_names_sup,3_1b_task1 4828-5278,THROW,THROW=0.4560,PICK=0.2889,EAT=0.2858,WASH=0.1862,TAKE=0.1050,WALK=0.1033,GO=0.0821,HOLD=-0.0002,OPEN=-0.1279,DROP=-0.1588,GIVE=-0.2235,PUT=-0.2694,PLAY=-0.3872,GET=-0.5785
40,cnn_sup,3_1b_task1 4828-5278,GET,GET=0.7141,WASH=0.6620,GIVE=0.2355,HOLD=0.2235,THROW=0.1934,PICK=0.0042,GO=-0.0134,WALK=-0.0353,PUT=-0.0489,PLAY=-0.1471,EAT=-0.1638,TAKE=-0.2445,OPEN=-0.4104,DROP=-0.6440
37,cnn_unsup,3_1b_task1 4828-5278,THROW,THROW=0.9970,PUT=0.9954,GIVE=0.9952,PICK=0.9943,EAT=0.9939,TAKE=0.9938,GO=0.9938,PLAY=0.9937,DROP=0.9936,GET=0.9907,HOLD=0.9902,WASH=0.9888,OPEN=0.9883,WALK=0.9862
41,rand,3_1b_task1 4828-5278,TAKE,,,,,,,,,,,,,,
38,spatial_sup,3_1b_task1 4828-5278,THROW,THROW=0.6247,WALK=0.2118,PICK=0.1129,GO=0.0825,TAKE=0.0801,HOLD=0.0444,EAT=0.0075,WASH=-0.0608,PUT=-0.1146,OPEN=-0.2262,GET=-0.2395,GIVE=-0.2563,PLAY=-0.3060,DROP=-0.4078
36,spatial_with_names_unsup,3_1b_task1 4828-5278,DROP,DROP=0.8540,HOLD=0.8455,WASH=0.8406,WALK=0.8399,GO=0.8170,PICK=0.8061,THROW=0.8058,GIVE=0.8021,PUT=0.7921,PLAY=0.7834,EAT=0.7813,TAKE=0.7711,GET=0.7435,OPEN=0.7065
35,spatial_unsup,3_1b_task1 4828-5278,DROP,DROP=0.8540,HOLD=0.8455,WASH=0.8406,WALK=0.8399,GO=0.8170,PICK=0.8061,THROW=0.8058,GIVE=0.8021,PUT=0.7921,PLAY=0.7834,EAT=0.7813,TAKE=0.7711,GET=0.7435,OPEN=0.7065
44,cnn_unsup,3_1b_task1 5278-5728,THROW,THROW=0.9954,GIVE=0.9936,PLAY=0.9926,PUT=0.9919,EAT=0.9900,TAKE=0.9899,PICK=0.9899,GO=0.9897,DROP=0.9890,HOLD=0.9877,GET=0.9866,OPEN=0.9864,WALK=0.9834,WASH=0.9826
46,spatial_with_names_sup,3_1b_task1 5278-5728,PUT,PUT=0.6537,GIVE=0.3624,THROW=0.2485,GO=0.0459,GET=-0.0309,HOLD=-0.0348,WALK=-0.0628,PICK=-0.1258,TAKE=-0.1419,OPEN=-0.1563,EAT=-0.1623,WASH=-0.2802,PLAY=-0.4022,DROP=-0.5145
48,rand,3_1b_task1 5278-5728,HOLD,,,,,,,,,,,,,,
47,cnn_sup,3_1b_task1 5278-5728,THROW,THROW=0.6189,PICK=0.3241,PLAY=0.2952,GIVE=0.2385,PUT=0.1897,HOLD=0.1608,GET=0.0957,OPEN=-0.0789,GO=-0.1657,DROP=-0.2102,WASH=-0.2487,WALK=-0.2902,TAKE=-0.4237,EAT=-0.4930
45,spatial_sup,3_1b_task1 5278-5728,PUT,PUT=0.6932,THROW=0.3523,GET=0.3032,GIVE=0.3005,GO=-0.0269,EAT=-0.0794,TAKE=-0.1699,DROP=-0.2051,OPEN=-0.2248,HOLD=-0.2487,WALK=-0.2885,PLAY=-0.2887,PICK=-0.4299,WASH=-0.4487
43,spatial_with_names_unsup,3_1b_task1 5278-5728,GIVE,GIVE=0.8693,WASH=0.7915,HOLD=0.7783,TAKE=0.7776,THROW=0.7745,WALK=0.7546,PUT=0.7474,PICK=0.7390,GET=0.7371,EAT=0.7369,OPEN=0.7189,GO=0.7162,DROP=0.6946,PLAY=0.6402
42,spatial_unsup,3_1b_task1 5278-5728,GIVE,GIVE=0.8693,WASH=0.7915,HOLD=0.7783,TAKE=0.7776,THROW=0.7745,WALK=0.7546,PUT=0.7474,PICK=0.7390,GET=0.7371,EAT=0.7369,OPEN=0.7189,GO=0.7162,DROP=0.6946,PLAY=0.6402
52,spatial_sup,3_1b_task1 5728-6178,THROW,THROW=0.4038,GO=0.4006,GET=0.1298,TAKE=0.0414,PUT=0.0344,OPEN=0.0124,HOLD=-0.0102,GIVE=-0.0416,EAT=-0.0747,PICK=-0.1247,WALK=-0.2394,WASH=-0.2461,PLAY=-0.2773,DROP=-0.6945
49,spatial_unsup,3_1b_task1 5728-6178,THROW,THROW=0.8813,GIVE=0.8681,TAKE=0.8667,OPEN=0.8553,WASH=0.8549,HOLD=0.8518,GET=0.8504,WALK=0.8402,EAT=0.8320,PICK=0.8273,GO=0.8174,PUT=0.8123,DROP=0.7838,PLAY=0.7558
54,cnn_sup,3_1b_task1 5728-6178,TAKE,TAKE=0.5969,THROW=0.4729,OPEN=0.3329,DROP=0.3043,PUT=0.0871,GET=0.0449,PICK=-0.0285,PLAY=-0.0732,EAT=-0.1346,GIVE=-0.1877,GO=-0.2227,HOLD=-0.3772,WALK=-0.4070,WASH=-0.4193
51,cnn_unsup,3_1b_task1 5728-6178,THROW,THROW=0.9926,PUT=0.9914,PLAY=0.9897,EAT=0.9896,GIVE=0.9895,PICK=0.9894,TAKE=0.9888,DROP=0.9885,GO=0.9884,GET=0.9873,HOLD=0.9857,WASH=0.9851,WALK=0.9837,OPEN=0.9818
53,spatial_with_names_sup,3_1b_task1 5728-6178,GET,GET=0.4814,GO=0.3613,THROW=0.2651,PUT=0.1663,GIVE=0.0034,WASH=-0.0339,WALK=-0.0488,HOLD=-0.0743,OPEN=-0.1060,TAKE=-0.1780,PICK=-0.1975,EAT=-0.2793,PLAY=-0.3019,DROP=-0.5574
55,rand,3_1b_task1 5728-6178,HOLD,,,,,,,,,,,,,,
50,spatial_with_names_unsup,3_1b_task1 5728-6178,THROW,THROW=0.8813,GIVE=0.8681,TAKE=0.8667,OPEN=0.8553,WASH=0.8549,HOLD=0.8518,GET=0.8504,WALK=0.8402,EAT=0.8320,PICK=0.8273,GO=0.8174,PUT=0.8123,DROP=0.7838,PLAY=0.7558
58,cnn_unsup,3_1b_task1 6178-6628,THROW,THROW=0.9930,PUT=0.9898,PLAY=0.9898,GIVE=0.9891,EAT=0.9874,PICK=0.9874,TAKE=0.9870,GO=0.9864,DROP=0.9858,GET=0.9852,HOLD=0.9834,WALK=0.9819,WASH=0.9814,OPEN=0.9813
61,cnn_sup,3_1b_task1 6178-6628,THROW,THROW=0.7105,HOLD=0.3108,TAKE=0.2026,PICK=0.1675,OPEN=0.1372,GET=0.0683,DROP=-0.0058,GIVE=-0.0275,PUT=-0.1078,GO=-0.1180,WALK=-0.1938,WASH=-0.2225,PLAY=-0.3015,EAT=-0.3849
60,spatial_with_names_sup,3_1b_task1 6178-6628,GET,GET=0.5065,DROP=0.3509,WASH=0.2814,PUT=0.2604,WALK=0.1804,THROW=0.1750,GIVE=0.1047,GO=-0.0068,OPEN=-0.0508,HOLD=-0.1429,PICK=-0.1431,TAKE=-0.2961,PLAY=-0.2975,EAT=-0.5871
59,spatial_sup,3_1b_task1 6178-6628,THROW,THROW=0.5149,GET=0.3861,WALK=0.2081,TAKE=0.1321,PUT=0.1149,WASH=0.1131,GO=0.0449,HOLD=-0.1195,PICK=-0.2465,GIVE=-0.2911,PLAY=-0.3054,DROP=-0.3243,EAT=-0.4562,OPEN=-0.4847
57,spatial_with_names_unsup,3_1b_task1 6178-6628,DROP,DROP=0.9717,GO=0.9403,HOLD=0.9391,WALK=0.9376,PLAY=0.9364,WASH=0.9337,PICK=0.9286,PUT=0.9240,EAT=0.9062,THROW=0.9009,TAKE=0.8824,GET=0.8714,GIVE=0.8653,OPEN=0.8244
62,rand,3_1b_task1 6178-6628,GIVE,,,,,,,,,,,,,,
56,spatial_unsup,3_1b_task1 6178-6628,DROP,DROP=0.9717,GO=0.9403,HOLD=0.9391,WALK=0.9376,PLAY=0.9364,WASH=0.9337,PICK=0.9286,PUT=0.9240,EAT=0.9062,THROW=0.9009,TAKE=0.8824,GET=0.8714,GIVE=0.8653,OPEN=0.8244
67,spatial_with_names_sup,3_1b_task1 6628-7078,GIVE,GIVE=0.6560,PUT=0.6433,THROW=0.2943,DROP=0.2151,GO=0.1878,GET=0.1004,PLAY=-0.0619,OPEN=-0.1283,TAKE=-0.1659,HOLD=-0.2887,EAT=-0.3369,WASH=-0.3672,WALK=-0.3984,PICK=-0.5589
64,spatial_with_names_unsup,3_1b_task1 6628-7078,THROW,THROW=0.8862,TAKE=0.8861,GIVE=0.8822,OPEN=0.8764,WASH=0.8653,GET=0.8649,HOLD=0.8632,WALK=0.8558,EAT=0.8531,PICK=0.8400,PUT=0.8281,GO=0.8235,DROP=0.7840,PLAY=0.7696
69,rand,3_1b_task1 6628-7078,TAKE,,,,,,,,,,,,,,
65,cnn_unsup,3_1b_task1 6628-7078,THROW,THROW=0.9930,GIVE=0.9910,PLAY=0.9908,PUT=0.9892,EAT=0.9877,TAKE=0.9874,PICK=0.9870,GO=0.9868,HOLD=0.9867,DROP=0.9858,OPEN=0.9846,GET=0.9837,WALK=0.9816,WASH=0.9791
68,cnn_sup,3_1b_task1 6628-7078,TAKE,TAKE=0.8082,DROP=0.6433,HOLD=0.1639,EAT=0.0983,PUT=0.0857,PICK=0.0415,WALK=-0.0252,OPEN=-0.0883,PLAY=-0.0888,THROW=-0.1475,WASH=-0.3598,GET=-0.3758,GIVE=-0.4462,GO=-0.4614
66,spatial_sup,3_1b_task1 6628-7078,PUT,PUT=0.5709,THROW=0.3511,GIVE=0.2821,GO=0.2505,DROP=0.2240,GET=0.0705,OPEN=-0.0900,HOLD=-0.1109,EAT=-0.1121,TAKE=-0.2205,PLAY=-0.2917,WALK=-0.2973,PICK=-0.4932,WASH=-0.6130
63,spatial_unsup,3_1b_task1 6628-7078,THROW,THROW=0.8862,TAKE=0.8861,GIVE=0.8822,OPEN=0.8764,WASH=0.8653,GET=0.8649,HOLD=0.8632,WALK=0.8558,EAT=0.8531,PICK=0.8400,PUT=0.8281,GO=0.8235,DROP=0.7840,PLAY=0.7696
75,cnn_sup,3_1b_task1 7078-7528,GET,GET=0.4319,GIVE=0.4235,PUT=0.3192,WASH=0.2950,TAKE=0.1948,THROW=0.1851,GO=0.1790,OPEN=0.1042,HOLD=0.0847,WALK=-0.0792,EAT=-0.2695,DROP=-0.3386,PICK=-0.5416,PLAY=-0.5975
70,spatial_unsup,3_1b_task1 7078-7528,WALK,WALK=0.9787,DROP=0.9774,HOLD=0.9755,GO=0.9754,PLAY=0.9702,PICK=0.9699,WASH=0.9688,EAT=0.9670,THROW=0.9644,PUT=0.9547,TAKE=0.9536,GET=0.9465,OPEN=0.9336,GIVE=0.9006
71,spatial_with_names_unsup,3_1b_task1 7078-7528,WALK,WALK=0.9787,DROP=0.9774,HOLD=0.9755,GO=0.9754,PLAY=0.9702,PICK=0.9699,WASH=0.9688,EAT=0.9670,THROW=0.9644,PUT=0.9547,TAKE=0.9536,GET=0.9465,OPEN=0.9336,GIVE=0.9006
76,rand,3_1b_task1 7078-7528,THROW,,,,,,,,,,,,,,
74,spatial_with_names_sup,3_1b_task1 7078-7528,THROW,THROW=0.5813,GO=0.5809,EAT=0.1244,PLAY=0.0375,OPEN=0.0194,TAKE=-0.0960,GIVE=-0.1209,GET=-0.1337,PUT=-0.2119,WASH=-0.2263,WALK=-0.2318,PICK=-0.2862,HOLD=-0.3172,DROP=-0.3972
73,spatial_sup,3_1b_task1 7078-7528,GO,GO=0.6520,THROW=0.4177,OPEN=0.2452,EAT=0.0544,PLAY=0.0393,HOLD=-0.0759,TAKE=-0.0928,GIVE=-0.0999,GET=-0.1559,PUT=-0.2036,PICK=-0.2109,WALK=-0.2333,WASH=-0.3440,DROP=-0.3769
72,cnn_unsup,3_1b_task1 7078-7528,THROW,THROW=0.9950,PUT=0.9933,GIVE=0.9932,PLAY=0.9928,DROP=0.9927,EAT=0.9922,TAKE=0.9920,PICK=0.9920,HOLD=0.9920,GO=0.9909,OPEN=0.9891,GET=0.9872,WALK=0.9845,WASH=0.9833
83,rand,3_1b_task1 7528-7978,PICK,,,,,,,,,,,,,,
82,cnn_sup,3_1b_task1 7528-7978,THROW,THROW=0.6509,DROP=0.4845,HOLD=0.3085,PLAY=0.2813,WASH=0.1636,GO=0.1591,GET=0.0812,TAKE=0.0173,WALK=-0.1354,OPEN=-0.1492,PICK=-0.1882,GIVE=-0.2964,EAT=-0.3580,PUT=-0.3769
80,spatial_sup,3_1b_task1 7528-7978,PUT,PUT=0.6427,THROW=0.4609,GIVE=0.2895,GO=0.2099,GET=0.0841,DROP=-0.0202,EAT=-0.2014,WALK=-0.2232,HOLD=-0.2340,TAKE=-0.2436,WASH=-0.2934,OPEN=-0.3186,PLAY=-0.3279,PICK=-0.5775
81,spatial_with_names_sup,3_1b_task1 7528-7978,THROW,THROW=0.6819,PUT=0.4471,GIVE=0.3621,GET=0.0982,GO=0.0888,TAKE=0.0257,EAT=0.0242,OPEN=-0.0202,DROP=-0.0840,PLAY=-0.1739,WASH=-0.3147,HOLD=-0.3939,WALK=-0.4157,PICK=-0.6608
79,cnn_unsup,3_1b_task1 7528-7978,THROW,THROW=0.9903,PLAY=0.9882,PUT=0.9864,GIVE=0.9848,EAT=0.9848,TAKE=0.9843,HOLD=0.9835,PICK=0.9833,GO=0.9830,DROP=0.9817,GET=0.9803,OPEN=0.9790,WALK=0.9789,WASH=0.9748
77,spatial_unsup,3_1b_task1 7528-7978,OPEN,OPEN=0.8645,THROW=0.8195,GET=0.8184,TAKE=0.8080,WALK=0.7983,EAT=0.7909,HOLD=0.7667,PICK=0.7605,GO=0.7572,PLAY=0.7454,WASH=0.7401,PUT=0.7149,DROP=0.7060,GIVE=0.6374
78,spatial_with_names_unsup,3_1b_task1 7528-7978,OPEN,OPEN=0.8645,THROW=0.8195,GET=0.8184,TAKE=0.8080,WALK=0.7983,EAT=0.7909,HOLD=0.7667,PICK=0.7605,GO=0.7572,PLAY=0.7454,WASH=0.7401,PUT=0.7149,DROP=0.7060,GIVE=0.6374
88,spatial_with_names_sup,3_1b_task1 7978-8428,GO,GO=0.5649,WALK=0.4199,HOLD=0.2064,GET=0.1540,PUT=0.1540,DROP=0.0854,WASH=0.0523,EAT=-0.0298,OPEN=-0.1801,PICK=-0.2275,GIVE=-0.2876,THROW=-0.3208,PLAY=-0.4564,TAKE=-0.5323
85,spatial_with_names_unsup,3_1b_task1 7978-8428,THROW,THROW=0.0085,WALK=0.0081,PLAY=0.0070,PUT=0.0069,EAT=0.0068,GET=0.0058,WASH=0.0056,GO=0.0055,TAKE=0.0044,PICK=0.0039,DROP=0.0034,OPEN=0.0034,GIVE=0.0027,HOLD=0.0020
89,cnn_sup,3_1b_task1 7978-8428,PUT,PUT=0.5556,TAKE=0.4215,THROW=0.3321,GET=0.1843,OPEN=0.1715,GIVE=0.1167,DROP=-0.0461,WALK=-0.1040,WASH=-0.1170,GO=-0.1673,EAT=-0.1785,PLAY=-0.3102,PICK=-0.3778,HOLD=-0.5750
84,spatial_unsup,3_1b_task1 7978-8428,THROW,THROW=0.0082,WALK=0.0072,PLAY=0.0072,PUT=0.0068,GET=0.0060,WASH=0.0055,EAT=0.0055,GO=0.0052,TAKE=0.0041,PICK=0.0036,DROP=0.0036,OPEN=0.0034,GIVE=0.0027,HOLD=0.0020
86,cnn_unsup,3_1b_task1 7978-8428,THROW,THROW=0.9856,PUT=0.9838,PLAY=0.9829,PICK=0.9810,EAT=0.9808,TAKE=0.9806,GET=0.9806,WALK=0.9794,GO=0.9793,DROP=0.9781,GIVE=0.9778,HOLD=0.9763,WASH=0.9756,OPEN=0.9675
90,rand,3_1b_task1 7978-8428,TAKE,,,,,,,,,,,,,,
87,spatial_sup,3_1b_task1 7978-8428,EAT,EAT=0.4312,GO=0.4298,GET=0.3860,OPEN=0.3393,WASH=0.3164,PLAY=0.0353,PUT=0.0222,HOLD=0.0046,GIVE=-0.0958,WALK=-0.1748,DROP=-0.1753,TAKE=-0.3966,PICK=-0.4962,THROW=-0.4994
94,spatial_sup,3_1b_task1 8428-8878,GO,GO=0.5161,PUT=0.4589,THROW=0.3973,EAT=0.0761,GIVE=0.0635,GET=0.0259,PLAY=0.0211,OPEN=-0.0095,WALK=-0.1350,DROP=-0.1563,WASH=-0.4389,HOLD=-0.4453,PICK=-0.6057,TAKE=-0.6596
95,spatial_with_names_sup,3_1b_task1 8428-8878,EAT,EAT=0.5360,GO=0.3395,THROW=0.2790,PUT=0.2282,WALK=0.0441,WASH=0.0144,GIVE=-0.0465,DROP=-0.1057,OPEN=-0.1098,PLAY=-0.1643,HOLD=-0.4248,GET=-0.4331,TAKE=-0.4874,PICK=-0.5273
96,cnn_sup,3_1b_task1 8428-8878,TAKE,TAKE=0.7263,PUT=0.3590,GET=0.3367,PICK=0.1653,GIVE=-0.0272,DROP=-0.0423,WASH=-0.0626,PLAY=-0.0974,THROW=-0.1116,OPEN=-0.1225,EAT=-0.1450,HOLD=-0.2214,WALK=-0.4557,GO=-0.5512
91,spatial_unsup,3_1b_task1 8428-8878,PICK,PICK=0.9983,PUT=0.9977,WASH=0.9974,GO=0.9958,HOLD=0.9956,EAT=0.9948,TAKE=0.9935,THROW=0.9925,WALK=0.9887,GET=0.9876,DROP=0.9852,PLAY=0.9810,OPEN=0.9637,GIVE=0.9633
97,rand,3_1b_task1 8428-8878,WALK,,,,,,,,,,,,,,
